identifier;titulo;autor;co_autor;orientador;data;paginas;local_publicacao;subjects;modelo_trabalho;descricao;local_defesa
0415256062;Colonization of unfamiliar landscapes the archaeology of adaptation;Rockman, Marcy;;Steele, James;2003;xxiii, 248 p;;CC72.4 .C648 2003|Social archaeology.|Landscape archaeology.|Landscapes Social aspects History.|Land settlement History.|Colonization History.|Human beings Effect of environment on History.|ARQUEOLOGIA AMBIENTAL|ARQUEOLOGIA SOCIAL|ETNOARQUEOLOGIA|ARQUEOLOGIA DA PAISAGEM|COLONIZAÇÃO (ARQUEOLOGIA)|ADAPTAÇÃO|Adaptation (Biology) History.|Adaptability (Psychology) History.|Ethnoarchaeology.|Archaeology and history.|Archéologie sociale.|Archéologie du paysage.|Paysage Aspect social Histoire.|Colonisation intérieure Histoire.|Colonisation Histoire.|Homme Influence de l'environnement Histoire.|Adaptation (Biologie) Histoire.|Adaptation (Psychologie) Histoire.|Ethnoarchéologie.|Archéologie et histoire.|Kolonisatie.|Landschapsarcheologie.|Aanpassing.|Kulturanthropologie|Kolonisation|Neubesiedlung|Kongress|Archäologie|colonisation habitat homme (être humain)|adaptation (biologie) environnement sociobiologie.|archéologie extensive.|colonisation habitat homme (être humain) origines / 20e s.;Livro;This volume presents the archaeological & anthropological foundations of the landscape learning process. A series of case studies examines interpretations of landscape learning from the movements of pre-modern humans into Europe, post-glacial migration into America & the English colonists at Jamestown;London Routledge
8571130795;Páginas catarinenses;Matos, Odilon Nogueira de;;;1993;104 p;SANTA CATARINA;COLONIZAÇÃO HISTÓRIA SANTA CATARINA;Livro;2. ed;Campinas Pontes
00049;A colonização agrícola holandesa no Estado de São Paulo Holambra I (contribuição à geografia do povoamento do Estado de São Paulo [por];Abreu, Adílson Avansi de;;;1971;114 p;Brazil São Paulo (State);HD1516.B8 A62|Agricultural colonies Brazil São Paulo (State) Case studies|Dutch Brazil Case studies|COLÔNIA AGRÍCOLA SÃO PAULO|COLONIZAÇÃO SÃO PAULO|IMIGRAÇÃO SÃO PAULO|HOLANDESES SÃO PAULO;Livro;"""Trabalho de mestrado ... Depto. de Geografia-USP.""";São Paulo
00382;Artifacts of the Spanish colonies of Florida and the Caribbean, 1500 - 1800 Volume 2 portable personal possessions;Deagan, Kathleen;;;2002;xxvii, 372 p.;"FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA";"ARTEFATOS (ARQUEOLOGIA) FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA|COLONIZAÇÃO FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA|CULTURA MATERIAL FLÓRIDA;ESTADOS UNIDOS;CARIBE;AMÉRICA ESPANHOLA|CULTURA MATERIAL (ASPECTOS RELIGIOSOS) CARIBE;AMÉRICA ESPANHOLA; FLÓRIDA; ESTADOS UNIDOS|AMÉRICA ESPANHOLA|CARIBE";Livro;;Washington D. C.
00392;"Vozes dos leaes portuguezes; ou, Fiel echo das suas novas acclamações á religião, a el-rei, e ás cortes destes reinos, com a franca exposição que a estas fazem das suas queixas, e remedios que lhes implorão dos seus males";Dulac, Antônio Maximino;;;1820;v.1: xv, 308p.v.2: 316p., 1 fl.s.n;;COLONIZAÇÃO PORTUGUESES SÉCULO 19;Livro;;Lisboa Impressão Regia
9788578911775;Imigração e colonização conflitos pela terra no Paraná e São Paulo entre os séculos XIX e XX;Priori, Angelo;;Bertonha, João Fábio;2015;222 p;SÃO PAULO PARANÁ;MIGRAÇÃO ASPECTOS HISTÓRICOS ASPECTOS ECONÔMICOS SÃO PAULO PARANÁ|COLONIZAÇÃO SÃO PAULO PARANÁ;Livro;;Guarapuava Editora Unicentro
8585866802;História do Rio Grande do Sul;Lazzarotto, Danilo;;;2001;211 p;RIO GRANDE DO SUL;HISTÓRIA RIO GRANDE DO SUL|COLONIZAÇÃO|IMIGRAÇÃO|REVOLUÇÃO FARROUPILHA|DESENVOLVIMENTO CULTURAL;Livro;7. ed;Ijuí, RS Ed.
00554;Colonial insitutions, slavery, inequality, and development evidence from São Paulo, Brazil;Summerhill, William;;;2010;1 v;"BRASIL;SÃO PAULO (SP)";"COLONIZAÇÃO BRASIL;SÃO PAULO (SP)|ESCRAVIDÃO|DESIGUALDADES";Livro;;[S.l. s.n.]
00001;As Américas e a civilização estudos de antropologia da civilização, processo de formação e causas do do desenvolvimento desigual dos povos americanos;Ribeiro, Darcy;;;1979;580 p;AMÉRICA;COLONIZAÇÃO AMÉRICA|HISTÓRIA DA AMÉRICA|ANTROPOLOGIA CULTURAL E SOCIAL;Livro;3. ed;Petropolis Vozes
00215;O sol e a sombra política e administração na América Portuguesa do século XVIII;Souza, Laura de Mello e;;;2006;505 p;Brazil;"F2528 .S68 2006|Governors Brazil History 18th century|ADMINISTRAÇÃO PÚBLICA SÉCULO 18 BRASIL|PERÍODO COLONIAL (1500-1822) (ASPECTOS ECONÔMICOS) BRASIL|POLÍTICA ECONÔMICA BRASIL|HISTÓRIA DO BRASIL SÉCULO 18|POLÍTICA E GOVERNO SÉCULO 18 BRASIL|COLONIZAÇÃO BRASIL;PORTUGAL";Livro;;São Paulo Companhia
